Trial,19,Sim Type,5,Distance Weight,1,Random Seed,285,Min Iterations,2000,Distance cost,0.4086166015395476,Manip Cost,0.24110866040716514,Total cost,0.3881857714625702,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.07103611164607561,0.07731046919456347,0.07926998962408861,0.078461044279998
Distance to Last Node,0.0,0.05,0.089,0.113,0.115,0.025
Total Cost,0.0,0.04962,0.13756,0.24955,0.36342,0.38819
Joint 0: ,-0.3,0.221,-0.03,0.286,0.356,0.383
Joint 1: ,0.3,0.834,0.419,0.603,0.758,0.807
Joint 2: ,0.4,0.37,0.278,-0.015,0.123,0.134
Joint 3: ,1.2,1.08,1.359,1.24,1.186,1.126
Joint 4: ,0.5,1.003,0.818,1.165,1.355,1.367
Joint 5: ,1.2,0.668,0.653,0.68,0.572,0.549
Joint 6: ,0.0,0.503,0.897,1.822,1.728,1.728
Trial,20,Sim Type,5,Distance Weight,1,Random Seed,300,Min Iterations,2000,Distance cost,0.4213983586440482,Manip Cost,0.8,Total cost,0.40032844071184576,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,0.0
Distance to Last Node,0.0,0.08,0.123,0.103,0.097
Total Cost,0.0,0.07989,0.2024,0.30418,0.40033
Joint 0: ,-0.3,-0.067,0.077,0.177,0.318
Joint 1: ,0.3,0.369,0.608,0.718,0.871
Joint 2: ,0.4,0.558,0.306,0.287,0.225
Joint 3: ,1.2,1.192,1.204,1.076,0.969
Joint 4: ,0.5,0.904,0.951,1.02,1.05
Joint 5: ,1.2,1.225,1.065,0.923,0.777
Joint 6: ,0.0,0.565,1.304,1.806,1.948
Trial,21,Sim Type,5,Distance Weight,1,Random Seed,315,Min Iterations,2000,Distance cost,0.40407900215284726,Manip Cost,0.8,Total cost,0.3838750520452049,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,3.804520925e-11,4.119862172e-11,0.0
Distance to Last Node,0.0,0.062,0.125,0.112,0.088
Total Cost,0.0,0.06161,0.18536,0.29648,0.38388
Joint 0: ,-0.3,-0.193,0.11,0.141,0.446
Joint 1: ,0.3,0.412,0.588,0.769,0.851
Joint 2: ,0.4,0.385,0.242,0.393,0.072
Joint 3: ,1.2,1.154,1.02,1.003,0.85
Joint 4: ,0.5,0.518,0.464,0.776,0.581
Joint 5: ,1.2,1.133,1.145,0.881,0.829
Joint 6: ,0.0,0.079,-0.975,-2.087,-2.168
Trial,22,Sim Type,5,Distance Weight,1,Random Seed,330,Min Iterations,2000,Distance cost,0.4038451506529415,Manip Cost,0.8333333333333334,Total cost,0.38365289312029444,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0,0.0,0.0,4.120697124e-11,0.0
Distance to Last Node,0.0,0.111,0.108,0.057,0.056,0.053
Total Cost,0.0,0.10988,0.21755,0.27415,0.32957,0.38365
Joint 0: ,-0.3,-0.2,-0.036,0.105,0.246,0.376
Joint 1: ,0.3,0.517,0.689,0.731,0.773,0.824
Joint 2: ,0.4,0.452,0.494,0.37,0.246,0.148
Joint 3: ,1.2,1.144,1.08,1.073,1.067,1.037
Joint 4: ,0.5,0.72,0.788,0.875,0.961,1.066
Joint 5: ,1.2,1.123,1.016,0.895,0.774,0.638
Joint 6: ,0.0,1.052,0.99,-0.25,-1.49,-2.744
