Trial,1,Sim Type,5,Distance Weight,0.9,Random Seed,15,Min Iterations,2500,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,2,Sim Type,5,Distance Weight,0.9,Random Seed,30,Min Iterations,2500,Distance cost,6.087148796867803,Manip Cost,1.9122811470625347,Total cost,5.669662031887276,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Trial,9,Sim Type,5,Distance Weight,0.9,Random Seed,135,Min Iterations,2500,Distance cost,6.481443811962508,Manip Cost,2.1567191742318856,Total cost,6.048971348189446,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20,2.671771595e-11,1e-20,1e-20,1e-20,1e-20,1e-20
Distance to Last Node,0.0,0.05,0.071,0.038,0.05,0.05,0.067,0.05,0.06,0.05
Total Cost,0.0,0.6,1.4498,1.9282,2.55761,3.18538,4.0277,4.66169,5.41777,6.04897
Local Manip Cost,0.0,0.0,0.0,0.2791619017548805,0.2940848782933396,0.27766269384420306,0.3234188298587116,0.33989669804671563,0.3304820829768673,0.3120120894571677
Joint 0: ,-0.2,-0.154,-0.07,-0.041,-0.018,0.053,0.185,0.177,0.204,0.274
Joint 1: ,0.4,0.422,0.577,0.607,0.58,0.638,0.667,0.705,0.793,0.872
Joint 2: ,0.4,0.42,0.508,0.513,0.503,0.52,0.422,0.406,0.385,0.333
Joint 3: ,0.9,0.947,0.85,0.88,0.975,0.964,0.994,1.047,1.013,0.962
Joint 4: ,0.9,0.887,0.96,0.955,0.892,0.913,0.96,0.944,0.87,0.891
Joint 5: ,0.9,0.94,0.83,0.838,0.903,0.877,0.866,0.883,0.841,0.763
Joint 6: ,0.0,0.016,0.094,0.094,0.157,0.173,-0.252,-0.252,-0.237,-0.284
Trial,10,Sim Type,5,Distance Weight,0.9,Random Seed,150,Min Iterations,2500,Distance cost,6.392776060309135,Manip Cost,2.190770790558647,Total cost,5.972575533334086,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,1.0,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,4.35671244e-11,1e-20
Distance to Last Node,0.0,0.05,0.05,0.05,0.068,0.062,0.07,0.05,0.05,0.029
Total Cost,0.0,0.6,1.2,1.82466,2.66554,3.44373,4.31791,4.95009,5.58335,5.97258
Local Manip Cost,0.0,0.0,0.0,0.24662549699943798,0.27238407916580293,0.2883329314464149,0.34391559412330386,0.32178144118860297,0.33264573869707953,0.3850855089380048
Joint 0: ,-0.2,-0.143,-0.106,-0.112,-0.022,0.004,0.057,0.129,0.195,0.234
Joint 1: ,0.4,0.46,0.484,0.539,0.601,0.667,0.751,0.811,0.872,0.913
Joint 2: ,0.4,0.42,0.435,0.419,0.375,0.368,0.363,0.386,0.401,0.409
Joint 3: ,0.9,0.911,0.969,0.993,1.028,1.065,1.103,1.024,0.993,0.967
Joint 4: ,0.9,0.903,0.893,0.884,0.897,0.853,0.902,0.949,0.977,0.993
Joint 5: ,0.9,0.888,0.918,0.915,0.913,0.919,0.904,0.838,0.805,0.77
Joint 6: ,0.0,0.031,0.031,0.031,0.173,0.126,0.298,0.346,0.361,0.377
Trial,11,Sim Type,5,Distance Weight,0.9,Random Seed,165,Min Iterations,2500,Distance cost,6.194094621198849,Manip Cost,2.468181218751907,Total cost,5.821503280954155,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.075,Step Size,0.05,Goal Area Sample Probability,0.1,Goal Area Delta,0.15
Closest Taxel Manip,1.0,2.40027878e-11,1e-20,1e-20,2.741619689e-11,3.9641337e-11,1e-20,1e-20,4.281995125e-11,4.454099672e-11
Distance to Last Node,0.0,0.05,0.074,0.05,0.05,0.05,0.05,0.05,0.05,0.04
Total Cost,0.0,0.6,1.51715,2.14361,2.77235,3.40191,4.03482,4.6704,5.30217,5.8215
