Trial,1,Sim Type,6,Distance Weight,0.8,Random Seed,15,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Joint 3: ,1.5,1.096,1.521,1.287,1.597,1.57,1.579
Joint 4: ,0.0,-0.974,-1.16,-1.318,-1.311,-1.319,-1.369
Joint 5: ,1.5,1.467,1.049,1.231,1.191,0.98,1.011
Joint 6: ,0.0,-1.037,-1.539,-1.744,-2.057,-2.042,-2.575
Trial,13,Sim Type,6,Distance Weight,0.8,Random Seed,195,Min Iterations,1000,Distance cost,0.40843389579644623,Manip Cost,0.22834563300301108,Total cost,0.31610576858251155,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.0331447146632229,0.03321343847984104,1.23017404823177e-05,0.02727349189891128,0.05333939672534836,5.26407611661392e-06
Distance to Last Node,0.0,0.097,0.05,0.096,0.096,0.096,0.095
Total Cost,0.0,0.0567,0.09805,0.16711,0.20459,0.2841,0.31611
Joint 0: ,0.0,-0.041,-0.048,-0.313,0.049,0.137,0.056
Joint 1: ,-0.7,0.353,0.371,0.747,0.206,0.078,0.307
Joint 2: ,0.0,-0.5,-0.505,-0.605,-0.591,-0.574,-0.569
Joint 3: ,1.5,1.532,1.595,1.351,1.691,1.647,1.599
Joint 4: ,0.0,-0.56,-0.528,-0.59,-0.778,-0.741,-0.751
Joint 5: ,1.5,0.526,0.581,0.382,0.753,0.766,0.614
Joint 6: ,0.0,-0.974,-1.005,-1.351,-1.854,-2.231,-2.452
Trial,14,Sim Type,6,Distance Weight,0.8,Random Seed,210,Min Iterations,1000,Distance cost,0.4484636761097924,Manip Cost,0.2824424857697431,Total cost,0.3466850983884968,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.053315266466345705,7.68413536606554e-06,0.056470150751553184,0.03811067679618137,0.052046467531690975,8.18721654385984e-06,9.54577209359343e-06,1.060536167883516e-05
Distance to Last Node,0.0,0.05,0.099,0.05,0.096,0.095,0.05,0.112,0.031
Total Cost,0.0,0.02924,0.12156,0.14527,0.20472,0.23378,0.29348,0.32845,0.34669
Joint 0: ,0.0,0.509,0.092,0.249,0.195,0.148,0.235,0.218,0.196
Joint 1: ,-0.7,0.049,0.449,0.264,0.58,0.438,0.346,0.42,0.476
Joint 2: ,0.0,-0.546,-0.585,-0.558,-0.561,-0.948,-0.838,-0.811,-0.802
Joint 3: ,1.5,1.495,1.359,1.164,1.516,1.719,1.538,1.401,1.418
Joint 4: ,0.0,-0.534,-0.754,-0.895,-0.536,-0.363,-0.425,-0.585,-0.578
Joint 5: ,1.5,0.777,0.495,0.326,0.458,0.88,0.729,0.97,0.954
Joint 6: ,0.0,-0.723,-1.194,-1.052,-1.382,-1.892,-1.994,-2.654,-2.654
Trial,15,Sim Type,6,Distance Weight,0.8,Random Seed,225,Min Iterations,1000,Distance cost,0.4238878615560115,Manip Cost,0.20778854593677323,Total cost,0.3277093608236711,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.040126932383297356,0.030651252759444716,4.79240695342437e-06,1.072501655571025e-05,0.033418098898030275,0.05207499197066587,0.06007752518800076,0.030121183332802
Distance to Last Node,0.0,0.05,0.098,0.1,0.1,0.05,0.109,0.032,0.012
Total Cost,0.0,0.02924,0.09608,0.17725,0.24234,0.2698,0.32536,0.32697,0.32771
Joint 0: ,0.0,0.408,0.005,0.198,-0.232,-0.006,0.166,-0.018,-0.018
Joint 1: ,-0.7,-0.26,0.322,0.259,0.684,0.413,0.235,0.259,0.284
Joint 2: ,0.0,-0.331,-0.657,-0.612,-0.562,-0.612,-0.807,-0.607,-0.602
Joint 3: ,1.5,1.246,1.447,1.534,1.543,1.55,1.59,1.566,1.552
Joint 4: ,0.0,-0.227,-0.402,-0.465,-0.04,-0.166,-0.072,-0.1,-0.099
Joint 5: ,1.5,1.081,0.719,0.777,0.347,0.442,0.535,0.622,0.61
Joint 6: ,0.0,-0.408,-1.351,-1.854,-2.34,-2.466,-2.978,-3.032,-3.032
Trial,16,Sim Type,6,Distance Weight,0.8,Random Seed,240,Min Iterations,1000,Distance cost,0.4456715794526089,Manip Cost,0.25823769532646423,Total cost,0.3517108428478768,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.04059624819006904,0.048159788010621984,8.01544455768983e-06,1.00575124573422e-05,0.03767964441076575,0.06922475145450843,5.33368685041267e-06
Distance to Last Node,0.0,0.093,0.097,0.05,0.05,0.098,0.091,0.101
Total Cost,0.0,0.05444,0.11687,0.1657,0.17539,0.26066,0.3072,0.35171
Joint 0: ,0.0,0.306,0.294,0.235,0.11,-0.136,0.183,0.002
Joint 1: ,-0.7,-0.523,0.197,0.347,0.469,0.61,0.418,0.357
Joint 2: ,0.0,-0.122,-0.816,-0.813,-0.764,-0.652,-0.483,-0.495
Joint 3: ,1.5,1.406,1.256,1.508,1.344,1.543,1.536,1.481
Joint 4: ,0.0,-0.398,-0.441,-0.221,-0.331,-0.189,-0.252,-0.673
Joint 5: ,1.5,1.321,0.82,1.065,0.933,0.822,0.953,0.875
Joint 6: ,0.0,-1.084,-1.995,-2.215,-2.325,-2.717,-2.875,-3.299
Trial,17,Sim Type,6,Distance Weight,0.8,Random Seed,255,Min Iterations,1000,Distance cost,0.501527192533121,Manip Cost,0.1426698582936193,Total cost,0.3811606663251719,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,1.0,1.0,1.0,0.0,0.03712095694371418,1.0,0.038912899300183094
Distance to Last Node,0.0,0.05,0.087,0.095,0.05,0.122,0.094,0.05,0.104
Total Cost,0.0,0.02924,0.08019,0.13579,0.16503,0.23616,0.3091,0.33209,0.38116
Joint 0: ,0.0,0.707,0.822,1.051,1.083,1.856,1.634,1.516,1.671
Joint 1: ,-0.7,-1.206,-1.163,-1.222,-1.086,-1.165,-1.018,-1.218,-1.197
Joint 2: ,0.0,-0.707,-1.544,-1.286,-1.138,-1.561,-1.619,-1.823,-1.523
Joint 3: ,1.5,1.244,1.827,1.504,1.375,1.22,1.361,1.549,1.486
Joint 4: ,0.0,-0.675,-0.336,0.504,0.598,0.669,0.496,0.323,0.507
Joint 5: ,1.5,1.189,1.155,0.906,0.877,0.862,0.973,0.824,0.806
Joint 6: ,0.0,-0.047,1.257,2.121,2.215,1.571,1.806,1.916,2.29
Trial,18,Sim Type,6,Distance Weight,0.8,Random Seed,270,Min Iterations,1000,Distance cost,0.4256712935513418,Manip Cost,0.11424337958993559,Total cost,0.34473924853411875,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.04661455687677778,0.06370075389681354,0.05667322640411894,0.059126788650971006,0.0311535767733445,0.032480832445175765
Distance to Last Node,0.0,0.05,0.09,0.098,0.123,0.098,0.094
Total Cost,0.0,0.02924,0.09311,0.15216,0.22321,0.28378,0.34474
Joint 0: ,0.0,0.393,-0.224,0.131,0.046,-0.118,-0.129
Joint 1: ,-0.7,-0.279,0.151,0.049,0.133,0.268,0.298
Joint 2: ,0.0,-0.227,-0.131,-0.405,-0.45,-0.47,-0.42
Joint 3: ,1.5,1.488,1.41,1.627,1.596,1.539,1.488
Joint 4: ,0.0,-0.145,-0.307,-0.401,-0.357,-0.279,-0.32
Joint 5: ,1.5,1.107,0.483,0.865,0.802,0.67,0.771
Joint 6: ,0.0,-0.393,-1.223,-2.134,-3.006,-3.116,-3.478
Trial,19,Sim Type,6,Distance Weight,0.8,Random Seed,285,Min Iterations,1000,Distance cost,0.4549504533414707,Manip Cost,0.11656406618894867,Total cost,0.35529313130405565,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,0.04797674427218332,0.035874620947373696,0.056991846173099804,0.04522293604967309,0.05610617443649347,0.059860293836026104,0.0317494077314062
Distance to Last Node,0.0,0.093,0.05,0.088,0.106,0.117,0.061,0.076
Total Cost,0.0,0.05411,0.09585,0.14989,0.20858,0.28517,0.32137,0.35529
Joint 0: ,0.0,-0.295,-0.443,0.021,0.171,0.024,-0.093,-0.124
Joint 1: ,-0.7,-0.215,0.4,-0.01,-0.132,0.07,0.159,0.293
Joint 2: ,0.0,0.278,0.095,-0.184,-0.432,-0.414,-0.416,-0.486
Joint 3: ,1.5,1.603,1.579,1.446,1.89,1.714,1.675,1.501
Joint 4: ,0.0,0.193,-0.075,-0.513,-0.107,-0.19,-0.16,-0.111
Joint 5: ,1.5,1.075,0.501,1.189,1.191,0.939,0.783,0.709
Joint 6: ,0.0,-0.377,-0.942,-1.602,-2.576,-2.97,-3.016,-2.859
Trial,20,Sim Type,6,Distance Weight,0.8,Random Seed,300,Min Iterations,1000,Distance cost,0.4431450188760917,Manip Cost,0.2294087201362105,Total cost,0.34455485013882536,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,3.88384169068071e-06,0.048849316213588324,0.048702336200063714,0.03848414650188402,0.04705273833307751,5.2221942885697e-06
Distance to Last Node,0.0,0.099,0.097,0.089,0.1,0.111,0.08
Total Cost,0.0,0.05778,0.14928,0.19517,0.2405,0.30451,0.34455
Joint 0: ,0.0,-0.537,-0.292,0.384,0.48,0.227,0.113
Joint 1: ,-0.7,0.382,0.151,0.005,-0.099,0.15,0.313
Joint 2: ,0.0,0.341,0.032,-0.52,-0.492,-0.762,-0.552
Joint 3: ,1.5,1.704,2.063,1.839,2.073,1.79,1.829
Joint 4: ,0.0,0.698,0.384,1.319,1.521,0.768,1.301
Joint 5: ,1.5,0.463,0.79,-0.492,-0.769,0.343,-0.684
Joint 6: ,0.0,0.942,1.257,1.178,0.361,1.77,1.0
Trial,21,Sim Type,6,Distance Weight,0.8,Random Seed,315,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,22,Sim Type,6,Distance Weight,0.8,Random Seed,330,Min Iterations,1000,Distance cost,0.6057098928911502,Manip Cost,0.0544687961205757,Total cost,0.4645248971948212,Object Reduction,0.02,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,1.0,1.0,0.03759854156525177,1.0,1.0,1.0,1.0,0.03834651278586227,0.06384329000425765,0.0388247130056083
Distance to Last Node,0.0,0.05,0.112,0.091,0.097,0.05,0.098,0.05,0.124,0.115
Total Cost,0.0,0.02924,0.09471,0.15149,0.20518,0.23442,0.29174,0.32098,0.39725,0.46452
Joint 0: ,0.0,-0.138,0.286,0.838,1.012,1.154,1.438,1.673,1.443,1.668
Joint 1: ,-0.7,-0.48,-0.55,-1.101,-1.512,-1.418,-1.41,-1.191,-1.309,-1.225
