Trial,14,Sim Type,6,Distance Weight,1,Random Seed,210,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,15,Sim Type,6,Distance Weight,1,Random Seed,225,Min Iterations,1000,Distance cost,0.6128683951895851,Manip Cost,0.24472760166660898,Total cost,0.5822249754301059,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,3.152077839e-11,2.684839991e-11,0.03047454042334551,0.03278962427971237,0.03369505954050013
Distance to Last Node,0.0,0.05,0.091,0.083,0.092,0.092,0.095,0.119,0.103,0.071
Total Cost,0.0,0.03655,0.10331,0.16421,0.23128,0.29888,0.3681,0.45481,0.53024,0.58222
Joint 0: ,0.0,0.557,0.532,0.449,0.869,1.944,1.776,1.785,1.461,1.629
Joint 1: ,-0.7,-1.264,-1.454,-1.052,-1.194,-1.163,-1.336,-0.941,-0.937,-0.935
Joint 2: ,0.0,-0.581,-0.786,-0.619,-0.76,-1.409,-1.197,-1.341,-1.525,-1.556
Joint 3: ,1.5,1.653,1.587,1.478,1.549,1.18,1.369,0.888,1.524,1.463
Joint 4: ,0.0,-0.57,-0.781,-0.467,-0.614,-1.274,-0.861,-0.581,-0.12,-0.086
Joint 5: ,1.5,1.607,1.537,1.628,1.206,0.38,0.581,0.38,0.819,0.742
Joint 6: ,0.0,-0.55,-1.147,-2.215,-2.551,-2.923,-3.052,-3.258,-3.336,-3.383
Trial,16,Sim Type,6,Distance Weight,1,Random Seed,240,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,17,Sim Type,6,Distance Weight,1,Random Seed,255,Min Iterations,1000,Distance cost,0.686354771493127,Manip Cost,0.13144854713441606,Total cost,0.6520370329184706,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,1.0,1.0,1.0,0.0341111413369372,3.862473498e-11,0.03716343512084358,0.03673373806616766,0.036149069094061494
Distance to Last Node,0.0,0.05,0.087,0.096,0.05,0.117,0.05,0.12,0.073,0.121,0.05,0.077
Total Cost,0.0,0.03655,0.10024,0.17076,0.20731,0.29273,0.32928,0.41727,0.47066,0.55893,0.59548,0.65204
Joint 0: ,0.0,0.707,0.822,0.75,0.542,0.728,0.912,1.502,1.863,1.589,1.683,1.616
Joint 1: ,-0.7,-1.206,-1.163,-1.081,-1.123,-1.054,-0.898,-1.014,-1.32,-1.171,-1.104,-1.106
Joint 2: ,0.0,-0.707,-1.544,-1.594,-1.719,-1.541,-1.634,-1.22,-1.513,-1.434,-1.49,-1.512
Joint 3: ,1.5,1.244,1.827,1.53,1.552,1.548,1.474,1.124,1.253,1.541,1.501,1.558
Joint 4: ,0.0,-0.675,-0.336,-0.508,-0.634,0.349,0.334,0.735,0.497,0.362,0.399,0.352
Joint 5: ,1.5,1.189,1.155,0.947,1.099,1.015,0.858,0.508,0.381,0.637,0.543,0.605
Joint 6: ,0.0,-0.047,1.257,1.712,1.838,2.526,2.589,2.659,2.597,2.473,2.536,2.52
Trial,18,Sim Type,6,Distance Weight,1,Random Seed,270,Min Iterations,1000,Distance cost,N/A,Manip Cost,N/A,Total cost,N/A,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Trial,19,Sim Type,6,Distance Weight,1,Random Seed,285,Min Iterations,1000,Distance cost,0.5503539237583933,Manip Cost,0.5555555555555556,Total cost,0.5228362275704737,Object Reduction,0.0,Contact Sample Chance,0.0,Parent finding radius R,0.125,Step Size,0.05,Goal Area Sample Probability,0.2,Goal Area Delta,0.2
Manipulability,0.04185149941879168,1.0,1.0,1.0,6.460739676e-11,4.437469298e-11,0.0,0.0,0.0
Distance to Last Node,0.0,0.096,0.083,0.097,0.124,0.102,0.083,0.05,0.08
Total Cost,0.0,0.07048,0.131,0.2018,0.29248,0.36693,0.42788,0.46443,0.52284
Joint 0: ,0.0,0.783,0.968,1.203,1.639,1.853,1.751,1.778,1.811
Joint 1: ,-0.7,-1.303,-1.034,-1.532,-1.164,-1.192,-1.088,-1.085,-1.067
Joint 2: ,0.0,-0.944,-1.482,-1.515,-1.188,-1.382,-1.491,-1.491,-1.526
Joint 3: ,1.5,1.538,1.695,1.617,1.048,1.135,1.202,1.194,1.157
Joint 4: ,0.0,-0.623,-0.215,-0.281,0.052,-0.064,-0.061,-0.06,-0.065
Joint 5: ,1.5,1.425,1.585,1.52,1.111,1.299,1.406,1.391,1.351
Joint 6: ,0.0,0.204,1.225,2.026,2.545,3.014,2.637,2.637,2.715
